Date,average_sum
1/22/2018,0.120223894
1/23/2018,0.120421387
1/24/2018,0.121098233
1/25/2018,0.120901809
1/26/2018,0.121507509
1/29/2018,0.121245004
1/30/2018,0.121272405
1/31/2018,0.121492564
2/1/2018,0.121900206
2/2/2018,0.120501133
2/5/2018,0.119544639
2/6/2018,0.11996507
2/7/2018,0.119306762
2/8/2018,0.118901911
2/9/2018,0.119145569
2/12/2018,0.119122917
2/13/2018,0.118961066
2/14/2018,0.119861651
2/15/2018,0.119975281
2/16/2018,0.119302678
2/19/2018,0.119257215
2/20/2018,0.118532633
2/21/2018,0.118061135
2/22/2018,0.118049132
2/23/2018,0.118691398
2/26/2018,0.118307774
2/27/2018,0.117519459
2/28/2018,0.11705658
3/1/2018,0.116950408
3/2/2018,0.11664219
3/5/2018,0.116000897
3/6/2018,0.1167699
3/7/2018,0.11643373
3/8/2018,0.116510172
3/9/2018,0.117199208
3/12/2018,0.116992131
3/13/2018,0.116029856
3/14/2018,0.116111755
3/15/2018,0.115324609
3/16/2018,0.114982305
3/19/2018,0.115126968
3/20/2018,0.11513926
3/21/2018,0.116484755
3/22/2018,0.116150413
3/23/2018,0.116554684
3/26/2018,0.117038484
3/27/2018,0.116677998
3/28/2018,0.116342962
3/29/2018,0.116672665
3/30/2018,0.116620784
4/2/2018,0.116458117
4/3/2018,0.117251421
4/4/2018,0.117526521
4/5/2018,0.117685304
4/6/2018,0.117388758
4/9/2018,0.118034369
4/10/2018,0.118853639
4/11/2018,0.119080403
4/12/2018,0.118978667
4/13/2018,0.118763606
4/16/2018,0.119148889
4/17/2018,0.119283858
4/18/2018,0.118657084
4/19/2018,0.118288962
4/20/2018,0.11753405
4/23/2018,0.116748326
4/24/2018,0.116881262
4/25/2018,0.116747253
4/26/2018,0.116533304
4/27/2018,0.116863849
4/30/2018,0.116739359
5/1/2018,0.116667003
5/2/2018,0.116271626
5/3/2018,0.116531208
5/4/2018,0.116540729
5/7/2018,0.116231515
5/8/2018,0.11565434
5/9/2018,0.116379488
5/10/2018,0.117117058
5/11/2018,0.116884618
5/14/2018,0.116606438
5/15/2018,0.116073376
5/16/2018,0.116752851
5/17/2018,0.116587698
5/18/2018,0.115943805
5/21/2018,0.116719461
5/22/2018,0.116519085
5/23/2018,0.116382789
5/24/2018,0.115982642
5/25/2018,0.115276299
5/28/2018,0.115062625
5/29/2018,0.114823421
5/30/2018,0.115950414
