Date,num_farmers_tweets,num_tweets,Likes,Retweets,percent
8/20/2017 0:00,0,2,130525,28832,0
8/21/2017 0:00,1,19,249452,57633,0.052631579
8/22/2017 0:00,2,25,447410,100399,0.08
8/23/2017 0:00,0,9,759041,177160,0
8/24/2017 0:00,0,13,660254,184760,0
8/25/2017 0:00,0,14,808116,188244,0
8/26/2017 0:00,0,17,692271,163546,0
8/27/2017 0:00,0,7,876887,183145,0
8/28/2017 0:00,1,5,0,83684,0.2
8/29/2017 0:00,0,6,224012,74940,0
8/30/2017 0:00,0,12,522895,109207,0
8/31/2017 0:00,0,12,224596,80933,0
9/1/2017 0:00,0,8,578815,136858,0
9/2/2017 0:00,1,9,351383,71421,0.111111111
9/3/2017 0:00,0,3,1095697,318776,0
9/4/2017 0:00,0,20,120986,27290,0
9/5/2017 0:00,0,12,433387,133246,0
9/6/2017 0:00,0,5,517934,113725,0
9/7/2017 0:00,0,7,500509,140386,0
9/8/2017 0:00,0,5,594164,144067,0
9/9/2017 0:00,0,12,241610,60431,0
9/10/2017 0:00,0,1,171241,93598,0
9/11/2017 0:00,0,3,215850,55884,0
9/12/2017 0:00,1,18,356799,77466,0.055555556
9/13/2017 0:00,1,11,261759,52867,0.090909091
9/14/2017 0:00,0,10,968660,212751,0
9/15/2017 0:00,0,20,1142237,277427,0
9/16/2017 0:00,1,17,176433,34698,0.058823529
9/17/2017 0:00,0,13,375179,220749,0
9/18/2017 0:00,0,11,277173,56689,0
9/19/2017 0:00,2,7,615607,164137,0.285714286
9/20/2017 0:00,0,11,1046521,285596,0
9/21/2017 0:00,0,8,467454,92705,0
9/22/2017 0:00,2,7,668753,165932,0.285714286
9/23/2017 0:00,0,13,1399147,352325,0
9/24/2017 0:00,0,3,1306720,350678,0
9/25/2017 0:00,0,13,1094535,293693,0
9/26/2017 0:00,0,3,1067248,237674,0
9/27/2017 0:00,0,3,858144,188366,0
9/28/2017 0:00,0,13,435388,112683,0
9/29/2017 0:00,0,24,580382,139491,0
9/30/2017 0:00,0,4,1387044,403702,0
10/1/2017 0:00,5,14,709382,184466,0.357142857
10/2/2017 0:00,2,10,387487,87628,0.2
10/3/2017 0:00,2,12,385597,76598,0.166666667
10/4/2017 0:00,0,1,770177,212743,0
10/5/2017 0:00,0,10,601007,164316,0
10/6/2017 0:00,0,11,92535,46557,0
10/7/2017 0:00,2,15,833507,169627,0.133333333
10/8/2017 0:00,1,15,668671,163720,0.066666667
10/9/2017 0:00,0,10,286033,58770,0
10/10/2017 0:00,0,10,775213,196867,0
10/11/2017 0:00,0,9,1006151,226293,0
10/12/2017 0:00,0,3,651235,159253,0
10/13/2017 0:00,0,5,816797,208478,0
10/14/2017 0:00,0,10,598062,168853,0
10/15/2017 0:00,0,13,138341,27758,0
10/16/2017 0:00,0,3,600391,145660,0
10/17/2017 0:00,0,7,464350,120414,0
10/18/2017 0:00,0,8,1123251,279754,0
10/19/2017 0:00,0,11,487945,142897,0
10/20/2017 0:00,0,4,736018,168774,0
10/21/2017 0:00,0,9,1005787,265258,0
10/22/2017 0:00,0,5,442775,93795,0
10/23/2017 0:00,1,14,399472,85530,0.071428571
10/24/2017 0:00,0,9,559007,121923,0
10/25/2017 0:00,0,6,797553,180549,0
10/26/2017 0:00,0,9,527523,141730,0
10/27/2017 0:00,0,12,798063,173980,0
10/28/2017 0:00,0,2,863279,199921,0
10/29/2017 0:00,0,14,548500,137953,0
10/30/2017 0:00,0,35,372459,101653,0
10/31/2017 0:00,0,17,930202,231670,0
11/1/2017 0:00,0,31,1043920,250154,0
11/2/2017 0:00,0,21,961821,213369,0
11/3/2017 0:00,0,10,1687375,407848,0
11/4/2017 0:00,0,12,376958,105048,0
11/5/2017 0:00,0,15,574236,120370,0
11/6/2017 0:00,0,24,594290,246521,0
11/7/2017 0:00,0,7,497377,150753,0
11/8/2017 0:00,0,4,806865,183618,0
11/9/2017 0:00,1,16,637198,134163,0.0625
11/10/2017 0:00,0,11,472650,101719,0
11/11/2017 0:00,0,19,313485,69409,0
11/12/2017 0:00,0,7,1166364,390006,0
11/13/2017 0:00,1,15,264765,51777,0.066666667
11/14/2017 0:00,0,14,561356,117412,0
11/15/2017 0:00,0,6,873224,254077,0
11/16/2017 0:00,0,12,580379,121040,0
11/17/2017 0:00,0,11,543832,124412,0
11/18/2017 0:00,0,14,320463,91251,0
11/19/2017 0:00,0,23,548220,137481,0
11/20/2017 0:00,0,19,462923,107222,0
11/21/2017 0:00,1,9,139772,29478,0.111111111
11/22/2017 0:00,0,11,1015737,267684,0
11/23/2017 0:00,0,11,720581,159896,0
11/24/2017 0:00,1,12,774356,188269,0.083333333
11/25/2017 0:00,0,11,352813,90842,0
11/26/2017 0:00,0,23,336806,79282,0
11/27/2017 0:00,1,18,385031,88362,0.055555556
11/28/2017 0:00,0,8,584147,212690,0
11/29/2017 0:00,0,5,1050223,304145,0
11/30/2017 0:00,0,6,1069330,278352,0
12/1/2017 0:00,0,10,909520,252800,0
12/2/2017 0:00,0,12,414865,104624,0
12/3/2017 0:00,0,16,1076404,356801,0
12/4/2017 0:00,0,11,360070,84248,0
12/5/2017 0:00,2,5,118931,27464,0.4
12/6/2017 0:00,0,6,439111,125549,0
12/7/2017 0:00,0,3,426365,125831,0
12/8/2017 0:00,0,1,641667,165566,0
12/9/2017 0:00,2,15,1014281,237335,0.133333333
12/10/2017 0:00,0,15,469170,113353,0
12/11/2017 0:00,0,10,138768,34018,0
12/12/2017 0:00,0,3,486539,120828,0
12/13/2017 0:00,0,10,507378,103575,0
12/14/2017 0:00,2,26,424669,111447,0.076923077
12/15/2017 0:00,0,14,273039,59635,0
12/16/2017 0:00,0,9,356302,111365,0
12/17/2017 0:00,2,12,149409,29533,0.166666667
12/18/2017 0:00,1,30,832175,175520,0.033333333
12/19/2017 0:00,0,9,476686,106177,0
12/20/2017 0:00,0,15,562407,129321,0
12/21/2017 0:00,0,30,448290,98571,0
12/22/2017 0:00,2,17,1006720,218398,0.117647059
12/23/2017 0:00,0,13,447175,134841,0
12/24/2017 0:00,0,11,351390,98041,0
12/25/2017 0:00,0,23,787074,197564,0
12/26/2017 0:00,1,18,360445,81628,0.055555556
12/27/2017 0:00,1,9,147134,30592,0.111111111
12/28/2017 0:00,0,9,593344,192754,0
12/29/2017 0:00,0,8,563194,213481,0
12/30/2017 0:00,1,15,681911,199000,0.066666667
12/31/2017 0:00,0,12,916477,230915,0
1/1/2018 0:00,0,15,530897,146986,0
1/2/2018 0:00,0,10,1151465,260705,0
1/3/2018 0:00,0,17,941864,294251,0
1/4/2018 0:00,0,4,1129595,264831,0
1/5/2018 0:00,0,18,674005,150151,0
1/6/2018 0:00,1,28,899858,215896,0.035714286
1/7/2018 0:00,1,10,609814,134692,0.1
1/8/2018 0:00,0,10,653986,143609,0
1/9/2018 0:00,0,8,326386,86957,0
1/10/2018 0:00,0,13,821099,188835,0
1/11/2018 0:00,0,13,694973,155687,0
1/12/2018 0:00,4,15,1443752,346042,0.266666667
1/13/2018 0:00,0,13,650333,146905,0
1/14/2018 0:00,0,13,665596,254088,0
1/15/2018 0:00,0,10,326392,97940,0
1/16/2018 0:00,0,6,830412,363215,0
1/17/2018 0:00,0,15,389956,87395,0
1/18/2018 0:00,0,18,1257068,297061,0
1/19/2018 0:00,0,17,495865,116626,0
1/20/2018 0:00,1,17,1175630,304624,0.058823529
1/21/2018 0:00,1,18,380500,223163,0.055555556
1/22/2018 0:00,0,14,462655,101355,0
1/23/2018 0:00,0,5,612584,139699,0
1/24/2018 0:00,0,9,609215,138842,0
