words,count
Andrew,62.0
fraud,61.0
wanted,61.0
BarackObama,61.0
Fox,61.0
agreed,61.0
Judge,61.0
Emails,60.0
playing,60.0
lies,60.0
forced,60.0
Dollar,60.0
released,60.0
Robert,60.0
race,60.0
prayers,59.0
leave,59.0
HEROES,59.0
move,59.0
plan,59.0
brave,59.0
West,58.0
currency,58.0
McCabe,58.0
met,58.0
voting,58.0
peace,58.0
visit,57.0
D.C.,57.0
Responders,57.0
November,57.0
knows,57.0
truth,56.0
chance,56.0
His,56.0
losing,56.0
process,56.0
spent,56.0
police,56.0
conference,56.0
sources,56.0
polls,56.0
USMCA,56.0
Mayor,56.0
shows,56.0
lawyer,55.0
growth,55.0
helping,55.0
Veterans,55.0
policy,55.0
try,55.0
enough,55.0
hopefully,55.0
2018,55.0
Middle,54.0
seeing,54.0
looks,54.0
facts,54.0
easy,54.0
giving,54.0
10,54.0
bigger,54.0
means,53.0
NATO,53.0
needs,53.0
Scam,53.0
opponent,53.0
children,53.0
reported,53.0
Melania,53.0
Be,53.0
DonaldJTrumpJr,53.0
Rep.,53.0
Chinese,53.0
voted,53.0
hurt,52.0
starting,52.0
side,52.0
set,52.0
MariaBartiromo,52.0
absolutely,52.0
Jong,52.0
corruption,52.0
TodayI,52.0
Kavanaugh,52.0
NBC,52.0
2nd,52.0
Their,52.0
Dan,52.0
Senators,52.0
Dem,51.0
products,51.0
policies,51.0
caught,51.0
comes,51.0
disgrace,51.0
committed,51.0
save,51.0
Michigan,51.0
Dorian,51.0
sure,51.0
probably,51.0
moving,51.0
Only,51.0
less,51.0
candidate,51.0
past,51.0
focus,50.0
Jeff,50.0
closely,50.0
confidence,50.0
DOJ,50.0
rather,50.0
Barriers,50.0
thoughts,50.0
Georgia,49.0
Peter,49.0
powerful,49.0
Was,49.0
U.S.A.,49.0
hate,49.0
Jim_Jordan,49.0
politics,49.0
Tuesday,49.0
Primary,49.0
fire,49.0
While,49.0
Minnesota,49.0
speak,49.0
matter,49.0
using,49.0
understand,49.0
play,49.0
asking,48.0
so-called,48.0
hear,48.0
25,48.0
whole,48.0
East,48.0
.The,48.0
lie,48.0
talks,48.0
Mainstream,48.0
different,48.0
Shutdown,48.0
sign,48.0
strongly,48.0
Are,47.0
raise,47.0
greatly,47.0
.and,47.0
human,47.0
three,47.0
City,47.0
found,47.0
via,47.0
killed,47.0
13,47.0
manufacturing,47.0
Such,47.0
David,47.0
send,47.0
dead,46.0
plus,46.0
destroy,46.0
Defense,46.0
involved,46.0
Birthday,46.0
though,46.0
EricTrump,46.0
elected,46.0
Summit,46.0
brought,46.0
someone,46.0
choice,46.0
Strzok,46.0
officials,46.0
buy,46.0
treated,46.0
kind,46.0
lower,46.0
term,46.0
coverage,46.0
increase,46.0
J.,45.0
nobody,45.0
within,45.0
advantage,45.0
pleased,45.0
charge,45.0
citizens,45.0
etc,45.0
honored,45.0
bringing,45.0
wife,45.0
testimony,44.0
Henry,44.0
gets,44.0
Mr.,44.0
Because,44.0
Steve,44.0
abuse,44.0
Sleepy,44.0
heard,44.0
address,44.0
Staff,44.0
ca,44.0
Congressional,44.0
Wisconsin,44.0
BREAKING,43.0
spy,43.0
lying,43.0
credibility,43.0
Reserve,43.0
credit,43.0
Germany,43.0
approved,43.0
except,43.0
rest,43.0
Oval,43.0
Consumer,43.0
written,43.0
event,43.0
forget,43.0
everybody,43.0
behalf,43.0
negative,42.0
Russians,42.0
either,42.0
maybe,42.0
Social,42.0
legal,42.0
European,42.0
easily,42.0
Louisiana,42.0
celebrate,42.0
lead,42.0
received,42.0
Emergency,42.0
storm,42.0
release,42.0
Vietnam,42.0
created,42.0
ICE,42.0
points,42.0
Scott,42.0
Too,41.0
conversation,41.0
Sanctuary,41.0
Repeal,41.0
outstanding,41.0
Center,41.0
Rating,41.0
lose,41.0
DanScavino,41.0
Acting,41.0
Infrastructure,41.0
killing,41.0
watched,40.0
impeach,40.0
question,40.0
Europe,40.0
shortly,40.0
Kevin,40.0
school,40.0
desperately,40.0
Replace,40.0
word,40.0
victims,40.0
Lady,40.0
expensive,40.0
outside,40.0
sanctions,40.0
troops,40.0
issue,40.0
voters,40.0
Amazon,39.0
ABC,39.0
TuckerCarlson,39.0
hours,39.0
're,39.0
fine,39.0
15,39.0
situation,39.0
pouring,39.0
necessary,39.0
Ukrainian,39.0
exciting,39.0
certain,39.0
District,39.0
Cities,39.0
product,39.0
supporters,39.0
remarks,39.0
concerning,39.0
putting,39.0
passed,39.0
gang,39.0
LindseyGrahamSC,38.0
rates,38.0
led,38.0
legislation,38.0
defend,38.0
2017,38.0
El,38.0
interesting,38.0
weeks,38.0
17,38.0
turn,38.0
scandal,38.0
documents,38.0
've,38.0
arrived,38.0
price,38.0
Liberal,38.0
afternoon,38.0
Bernie,38.0
Bush,38.0
least,38.0
final,38.0
representatives,38.0
senatemajldr,38.0
Presidency,38.0
Joint,38.0
Arizona,37.0
anywhere,37.0
negotiations,37.0
calling,37.0
Ed,37.0
Where,37.0
records,37.0
month,37.0
serve,37.0
NFL,37.0
changed,37.0
step,37.0
broken,37.0
officers,37.0
hundreds,37.0
Over,37.0
correct,37.0
Harassment,37.0
makes,37.0
opportunity,37.0
additional,37.0
mistake,36.0
announce,36.0
FoxBusiness,36.0
Cohen,36.0
fought,36.0
Counsel,36.0
Ohr,36.0
30,36.0
GDP,36.0
course,36.0
MelaniaI,36.0
known,36.0
PM,36.0
Flag,36.0
host,36.0
statements,36.0
RepMarkMeadows,36.0
NHC_Atlantic,36.0
Sorry,36.0
wins,36.0
sick,36.0
son,36.0
thinking,36.0
financial,36.0
hand,36.0
Anthem,36.0
young,35.0
transcript,35.0
An,35.0
problems,35.0
IngrahamAngle,35.0
reached,35.0
immigrants,35.0
positive,35.0
death,35.0
relief,35.0
Should,35.0
pressure,35.0
aliens,35.0
Chief,35.0
Tariff,35.0
saw,35.0
Coast,35.0
turned,35.0
MSNBC,35.0
Sessions,35.0
MS-13,35.0
18,35.0
classified,35.0
talented,34.0
9:00,34.0
rule,34.0
loopholes,34.0
20,34.0
FISA,34.0
Some,34.0
behind,34.0
Judges,34.0
Jerry,34.0
mess,34.0
anymore,34.0
conflicted,34.0
investigate,34.0
leading,34.0
Jim,34.0
beat,34.0
Lisa,34.0
face,34.0
players,34.0
industry,34.0
Putin,34.0
debt,34.0
recent,34.0
clear,34.0
setting,34.0
questions,34.0
instead,34.0
criminals,34.0
Check,34.0
idea,34.0
inflation,34.0
Here,34.0
claims,34.0
agents,34.0
later,33.0
Steele,33.0
company,33.0
Under,33.0
Pence,33.0
helped,33.0
.I,33.0
Google,33.0
laughing,33.0
From,33.0
wealth,33.0
private,33.0
prior,33.0
Brian,33.0
whose,33.0
Indiana,33.0
keeping,33.0
poor,33.0
Server,33.0
follow,33.0
group,33.0
short,33.0
reports,33.0
trillion,33.0
Executive,33.0
head,33.0
hits,33.0
phone,33.0
Likewise,33.0
protection,33.0
Twitter,33.0
wrote,33.0
Saturday,32.0
NAFTA,32.0
disgraceful,32.0
1,32.0
lawyers,32.0
Democratic,32.0
Venezuela,32.0
tried,32.0
wanting,32.0
Paul,32.0
Abe,32.0
amounts,32.0
subject,32.0
beyond,32.0
Levin,32.0
Bruce,32.0
cars,32.0
insurance,32.0
promise,32.0
class,32.0
solve,32.0
Street,32.0
serious,32.0
goes,32.0
Dream,32.0
forever,32.0
Tickets,32.0
expected,32.0
impact,32.0
trip,32.0
Red,32.0
Luther,32.0
member,31.0
waiting,31.0
gas,31.0
Iowa,31.0
anyway,31.0
popular,31.0
Patriots,31.0
deleted,31.0
June,31.0
spirit,31.0
Budget,31.0
message,31.0
among,31.0
completely,31.0
line,31.0
Council,31.0
ahead,31.0
hold,31.0
bipartisan,31.0
car,31.0
Rick,31.0
unprecedented,31.0
Chris,31.0
gotten,31.0
inaccurate,31.0
doubt,31.0
health,31.0
Guard,31.0
Haters,31.0
African,31.0
speaking,31.0
importantly,31.0
debate,31.0
extraordinary,31.0
whatever,31.0
King,31.0
Your,31.0
innocent,31.0
IG,31.0
list,30.0
Most,30.0
Brennan,30.0
weapons,30.0
Paris,30.0
secure,30.0
near,30.0
apologize,30.0
businesses,30.0
single,30.0
Memorial,30.0
sent,30.0
begin,30.0
added,30.0
exist,30.0
Out,30.0
charges,30.0
informed,30.0
mike_pence,30.0
accomplished,30.0
soldiers,30.0
standard,30.0
lied,30.0
majority,30.0
500,30.0
condolences,30.0
greater,30.0
name,30.0
pushing,30.0
calls,30.0
becoming,30.0
meantime,30.0
discuss,30.0
shooting,30.0
candidates,30.0
whether,29.0
San,29.0
Deep,29.0
willing,29.0
CIA,29.0
cutting,29.0
disgusting,29.0
deliver,29.0
held,29.0
discussed,29.0
rapidly,29.0
fortune,29.0
McConnell,29.0
wonder,29.0
CEO,29.0
Mitch,29.0
four,29.0
Have,29.0
marklevinshow,29.0
Judicial,29.0
hero,29.0
Sadly,29.0
AbeShinzo,29.0
th,29.0
markets,29.0
Who,29.0
tougher,29.0
Christopher,29.0
closed,29.0
Black,29.0
Champion,29.0
weekend,29.0
became,28.0
Florence,28.0
ban,28.0
Saudi,28.0
Christmas,28.0
51,28.0
usual,28.0
period,28.0
dinner,28.0
community,28.0
substantially,28.0
Medal,28.0
Room,28.0
saved,28.0
International,28.0
JesseBWatters,28.0
cover,28.0
numerous,28.0
Humanitarian,28.0
grateful,28.0
form,28.0
12,28.0
optimism,28.0
clean,28.0
holding,28.0
WH,28.0
payments,28.0
Ambassador,28.0
throughout,28.0
wait,28.0
funny,28.0
standing,28.0
funding,28.0
loved,28.0
costs,28.0
official,28.0
unable,28.0
father,28.0
Tennessee,28.0
racist,28.0
Agent,28.0
fraudulent,28.0
stopped,28.0
parts,28.0
AsI,28.0
result,27.0
deserve,27.0
A.G.,27.0
McCarthy,27.0
died,27.0
Thursday,27.0
discredited,27.0
cont,27.0
16,27.0
discussing,27.0
Kelly,27.0
demand,27.0
travel,27.0
allowing,27.0
August,27.0
terror,27.0
works,27.0
biased,27.0
promises,27.0
ending,27.0
prosperity,27.0
protecting,27.0
update,27.0
create,27.0
Ron,27.0
vicious,27.0
hearing,27.0
Brett,27.0
remains,27.0
Kentucky,26.0
Foundation,26.0
scale,26.0
proven,26.0
likes,26.0
showing,26.0
booming,26.0
hatred,26.0
water,26.0
favorite,26.0
serving,26.0
Barr,26.0
enthusiasm,26.0
lover,26.0
11,26.0
recently,26.0
promised,26.0
fairly,26.0
stands,26.0
showed,26.0
looked,26.0
simple,26.0
Has,26.0
dropped,26.0
currently,26.0
con,26.0
regulations,26.0
negotiate,26.0
position,26.0
destroyed,26.0
third,26.0
Wars,26.0
