"Date","Price","Open","High","Low","Change %"
"Nov 12, 2018","5,926.23","5,923.31","5,928.19","5,883.40","0.15%"
"Nov 09, 2018","5,917.50","5,919.50","5,940.13","5,896.99","0.11%"
"Nov 08, 2018","5,911.00","5,932.35","5,932.35","5,905.00","-0.29%"
"Nov 07, 2018","5,928.00","5,977.61","5,977.61","5,928.00","-0.62%"
"Nov 06, 2018","5,965.00","5,976.75","5,999.00","5,922.00","-0.15%"
"Nov 05, 2018","5,974.00","5,978.97","5,979.75","5,943.95","0.10%"
"Nov 02, 2018","5,968.00","6,003.00","6,003.00","5,954.87","-0.44%"
"Nov 01, 2018","5,994.48","5,980.72","5,998.49","5,971.72","0.05%"
"Oct 31, 2018","5,991.50","6,003.56","6,003.56","5,976.17","-0.07%"
"Oct 30, 2018","5,995.65","5,999.45","5,999.45","5,985.82","-0.06%"
"Oct 29, 2018","5,999.00","6,022.57","6,022.57","5,965.52","-0.20%"
"Oct 26, 2018","6,011.00","6,008.31","6,025.48","5,974.48","0.10%"
"Oct 25, 2018","6,004.75","6,001.56","6,006.65","5,954.06","0.15%"
"Oct 24, 2018","5,996.00","5,993.00","6,008.12","5,956.84","-0.06%"
"Oct 23, 2018","5,999.50","5,994.50","6,016.69","5,961.46","0.08%"
"Oct 22, 2018","5,995.00","5,984.00","6,002.85","5,903.00","0.20%"
"Oct 19, 2018","5,983.00","5,988.65","5,994.84","5,979.00","0.11%"
"Oct 18, 2018","5,976.50","5,944.50","5,982.15","5,938.50","0.44%"
"Oct 17, 2018","5,950.50","5,901.50","5,956.31","5,901.50","0.19%"
"Oct 16, 2018","5,939.50","5,935.50","5,953.21","5,929.50","-0.09%"
"Oct 15, 2018","5,945.00","5,904.00","5,966.10","5,904.00","-0.23%"
"Oct 12, 2018","5,958.69","5,929.52","5,958.69","5,879.78","0.41%"
"Oct 11, 2018","5,934.19","5,896.24","5,938.43","5,896.24","0.26%"
"Oct 10, 2018","5,918.80","5,908.51","5,920.57","5,908.51","0.17%"
"Oct 09, 2018","5,908.64","5,895.69","5,912.98","5,891.11","0.08%"
"Oct 08, 2018","5,904.21","5,905.30","5,905.30","5,867.35","0.02%"
"Oct 05, 2018","5,903.00","5,911.00","5,917.61","5,903.00","-0.33%"
"Oct 04, 2018","5,922.50","5,911.80","5,922.83","5,873.15","0.33%"
"Oct 03, 2018","5,902.80","5,902.60","5,903.34","5,884.50","0.03%"
"Oct 02, 2018","5,901.20","5,893.21","5,905.81","5,893.21","0.12%"
"Oct 01, 2018","5,894.26","5,894.15","5,900.12","5,894.04","0.02%"
"Sep 28, 2018","5,893.00","5,887.00","5,916.46","5,887.00","-0.08%"
"Sep 27, 2018","5,898.00","5,910.57","5,925.65","5,863.00","0.05%"
"Sep 26, 2018","5,894.90","5,847.34","5,895.18","5,844.34","-0.00%"
"Sep 25, 2018","5,895.00","5,873.00","5,901.00","5,821.83","0.43%"
