"Date","Price","Open","High","Low","Change %"
"May 13, 2019","45.1375","44.7675","45.6225","44.7675","0.72%"
"May 10, 2019","44.8150","45.2750","45.2750","44.5700","-0.92%"
"May 09, 2019","45.2300","44.9650","45.7100","44.9650","0.34%"
"May 08, 2019","45.0750","45.3200","45.3250","44.9750","-0.43%"
"May 07, 2019","45.2700","44.6600","45.2700","44.2300","1.34%"
"May 06, 2019","44.6700","44.4400","45.2200","44.4400","0.45%"
"May 03, 2019","44.4700","44.7550","44.7800","44.1300","-0.66%"
"May 02, 2019","44.7635","44.1435","44.9885","44.1385","1.18%"
"May 01, 2019","44.2400","44.3280","44.3280","44.2400","-0.14%"
"Apr 30, 2019","44.3000","44.3640","44.5080","43.4080","-0.14%"
"Apr 29, 2019","44.3600","44.2600","44.9100","44.2100","-3.34%"
"Apr 26, 2019","45.8945","45.1255","45.9855","44.1555","1.88%"
"Apr 25, 2019","45.0475","43.9805","46.5875","43.9805","2.56%"
"Apr 24, 2019","43.9230","42.4280","44.0200","42.2700","3.58%"
"Apr 23, 2019","42.4050","42.3790","42.6750","42.1050","-0.19%"
"Apr 22, 2019","42.4870","41.8620","42.8410","41.8620","1.54%"
"Apr 19, 2019","41.8415","41.8415","41.8605","41.8405","-0.00%"
"Apr 18, 2019","41.8435","41.6725","41.8625","41.6725","0.51%"
"Apr 17, 2019","41.6300","42.3100","42.3100","41.2100","-1.65%"
"Apr 16, 2019","42.3285","41.6465","42.5205","41.4605","1.71%"
"Apr 15, 2019","41.6160","42.1790","42.1790","41.2900","-1.32%"
"Apr 12, 2019","42.1730","42.7110","42.7110","42.0840","-1.27%"
"Apr 11, 2019","42.7155","42.9825","43.2385","42.5585","-0.65%"
"Apr 10, 2019","42.9950","43.4410","43.4410","42.7710","-0.90%"
"Apr 09, 2019","43.3870","43.7040","43.9680","43.2680","-0.69%"
"Apr 08, 2019","43.6900","43.8810","43.9200","43.5800","-0.50%"
"Apr 05, 2019","43.9115","43.2605","44.0405","43.2605","1.16%"
"Apr 04, 2019","43.4065","42.8525","43.4515","42.7215","1.31%"
"Apr 03, 2019","42.8455","42.7105","42.8885","42.0985","0.30%"
"Apr 02, 2019","42.7160","42.7160","42.7540","42.7140","0.00%"
"Apr 01, 2019","42.7140","43.3010","43.3820","42.6020","-1.49%"
"Mar 29, 2019","43.3615","43.1805","43.5305","43.1505","-0.59%"
"Mar 28, 2019","43.6200","43.8990","43.8990","43.1290","-0.58%"
"Mar 27, 2019","43.8735","42.6255","43.9645","42.6255","2.93%"
"Mar 26, 2019","42.6265","42.0415","42.7455","41.8155","1.41%"
"Mar 25, 2019","42.0350","41.7690","42.0640","41.2790","0.62%"
"Mar 22, 2019","41.7780","41.0170","42.2180","41.0080","1.84%"
"Mar 21, 2019","41.0250","40.8070","41.1050","40.4050","0.42%"
"Mar 20, 2019","40.8545","40.5315","41.3525","40.4625","0.82%"
"Mar 19, 2019","40.5205","40.0185","40.7415","39.7415","1.21%"
"Mar 18, 2019","40.0355","39.9935","40.0585","39.5585","0.11%"
"Mar 15, 2019","39.9900","40.7080","40.7600","39.7100","-1.84%"
"Mar 14, 2019","40.7395","41.2515","41.3915","40.5415","-1.22%"
"Mar 13, 2019","41.2415","41.5215","41.7925","41.0625","-0.60%"
"Mar 12, 2019","41.4915","41.2405","41.5325","40.9325","0.58%"
"Mar 11, 2019","41.2540","41.1630","41.3060","40.3960","0.19%"
"Mar 08, 2019","41.1750","42.3480","42.3480","40.6580","-2.97%"
"Mar 07, 2019","42.4340","40.7810","42.6020","40.4520","4.20%"
"Mar 06, 2019","40.7250","40.1050","40.7350","39.9050","2.25%"
"Mar 05, 2019","39.8300","39.7970","39.8300","39.7970","0.01%"
"Mar 04, 2019","39.8250","39.7920","39.8250","39.7920","-0.01%"
"Mar 01, 2019","39.8295","39.1165","39.9425","39.1125","1.80%"
"Feb 28, 2019","39.1260","38.7760","39.2150","38.3350","0.91%"
"Feb 27, 2019","38.7745","38.8655","38.8655","38.2335","-0.27%"
"Feb 26, 2019","38.8800","39.1100","39.4800","38.8100","-0.37%"
"Feb 25, 2019","39.0250","38.9060","39.0760","38.4360","-0.41%"
"Feb 22, 2019","39.1850","39.4660","39.4850","38.6650","-0.87%"
"Feb 21, 2019","39.5290","39.6490","39.9290","39.0490","-0.36%"
"Feb 20, 2019","39.6700","39.2700","40.5600","39.0100","0.99%"
"Feb 19, 2019","39.2800","38.6600","39.3900","38.1100","1.43%"
"Feb 18, 2019","38.7250","38.3250","38.9250","38.2750","0.30%"
"Feb 15, 2019","38.6100","38.1920","38.6300","38.1300","1.09%"
"Feb 14, 2019","38.1920","38.1750","38.4800","37.6800","0.01%"
"Feb 13, 2019","38.1900","37.9390","38.3100","37.4600","0.60%"
"Feb 12, 2019","37.9605","37.9215","38.0115","37.3315","0.06%"
"Feb 11, 2019","37.9360","37.5980","38.5960","37.5980","0.29%"
"Feb 08, 2019","37.8250","37.7670","37.9000","37.3050","0.01%"
"Feb 07, 2019","37.8215","37.3095","38.0495","37.3095","0.80%"
"Feb 06, 2019","37.5230","37.2310","37.6510","36.8810","0.83%"
"Feb 05, 2019","37.2125","37.1255","37.2575","37.1075","0.16%"
"Feb 04, 2019","37.1515","37.1545","37.3835","36.7835","-0.01%"
"Feb 01, 2019","37.1545","37.3025","37.4235","36.7835","-0.39%"
"Jan 31, 2019","37.2990","37.5250","37.5250","36.5300","-0.55%"
"Jan 30, 2019","37.5055","37.6375","37.8055","37.3555","-0.33%"
"Jan 29, 2019","37.6300","37.1300","37.6500","36.8600","1.38%"
"Jan 28, 2019","37.1185","37.0375","37.1755","36.8955","0.21%"
"Jan 25, 2019","37.0405","37.5805","37.5805","36.6285","-0.91%"
"Jan 24, 2019","37.3800","37.2100","37.6200","37.2100","-0.43%"
"Jan 23, 2019","37.5400","37.4910","37.6100","37.0100","0.09%"
"Jan 22, 2019","37.5080","37.5780","37.7060","36.8960","-0.80%"
"Jan 21, 2019","37.8100","37.8100","37.8400","37.3900","0.61%"
"Jan 18, 2019","37.5800","37.6590","37.6650","37.5550","-0.27%"
"Jan 17, 2019","37.6825","37.4735","38.0285","37.2785","0.55%"
"Jan 16, 2019","37.4765","37.1415","37.5115","36.9015","0.98%"
"Jan 15, 2019","37.1145","36.9835","37.3615","36.5415","0.38%"
"Jan 14, 2019","36.9745","36.8945","37.2425","36.5325","0.19%"
"Jan 11, 2019","36.9030","37.0840","37.3810","36.5410","-1.20%"
"Jan 10, 2019","37.3500","37.8180","37.9500","37.2000","-0.02%"
"Jan 09, 2019","37.3580","37.5520","37.6900","37.0400","-0.50%"
"Jan 08, 2019","37.5470","37.3250","37.5950","36.8850","0.66%"
"Jan 07, 2019","37.3005","37.3495","37.4715","36.8815","-0.13%"
"Jan 04, 2019","37.3475","37.2575","37.3975","37.0075","-0.26%"
"Jan 03, 2019","37.4445","37.6915","37.7335","37.2835","-0.86%"
"Jan 02, 2019","37.7690","37.6920","38.1930","37.3230","0.31%"
"Jan 01, 2019","37.6530","37.6530","37.6530","37.6530","0.00%"
"Dec 31, 2018","37.6530","37.6760","37.6840","37.6530","-0.08%"
"Dec 28, 2018","37.6850","38.2620","38.2620","37.5050","-1.62%"
"Dec 27, 2018","38.3070","38.6200","38.8500","38.2500","-0.62%"
"Dec 26, 2018","38.5460","37.8830","38.6830","37.8830","1.51%"
"Dec 25, 2018","37.9720","37.9720","37.9720","37.9720","0.00%"
"Dec 24, 2018","37.9720","37.9720","37.9930","37.9720","-0.00%"
"Dec 21, 2018","37.9725","37.5575","38.1875","37.5075","-0.16%"
"Dec 20, 2018","38.0350","38.3560","38.3560","37.5330","-0.84%"
"Dec 19, 2018","38.3575","38.2625","38.3875","38.1575","0.27%"
"Dec 18, 2018","38.2555","38.2485","38.3345","38.0345","-0.01%"
"Dec 17, 2018","38.2585","38.1225","38.5065","38.0065","0.27%"
"Dec 14, 2018","38.1540","37.8950","38.3780","37.2880","0.92%"
"Dec 13, 2018","37.8050","37.5750","37.8850","37.4050","0.62%"
"Dec 12, 2018","37.5715","37.8835","37.8835","37.2765","-0.60%"
"Dec 11, 2018","37.8000","37.5100","37.8200","37.1100","0.37%"
"Dec 10, 2018","37.6600","37.3800","37.9900","37.0100","0.76%"
"Dec 07, 2018","37.3770","37.7030","37.7310","37.0510","-0.86%"
"Dec 06, 2018","37.7000","37.4560","38.1100","37.1600","0.53%"
"Dec 05, 2018","37.5000","37.3850","38.1740","37.0540","0.33%"
"Dec 04, 2018","37.3775","36.5765","37.4465","36.2965","2.30%"
"Dec 03, 2018","36.5375","37.2625","37.2625","36.2125","-3.16%"
"Nov 30, 2018","37.7315","37.7315","37.7705","37.6955","-0.01%"
"Nov 29, 2018","37.7350","38.4470","38.4790","37.4290","-1.86%"
"Nov 28, 2018","38.4500","39.0800","39.0800","38.0100","-0.24%"
"Nov 27, 2018","38.5430","39.0580","39.1270","38.5260","-1.37%"
"Nov 26, 2018","39.0800","37.5120","39.0800","37.1100","4.07%"
"Nov 23, 2018","37.5500","36.4100","37.6600","36.2100","3.07%"
"Nov 22, 2018","36.4300","36.2900","36.4300","35.7700","0.47%"
"Nov 21, 2018","36.2600","36.1800","36.4600","35.6600","0.22%"
"Nov 20, 2018","36.1805","35.9255","36.3755","35.9255","0.75%"
"Nov 19, 2018","35.9100","35.9070","35.9100","35.9000","-0.04%"
"Nov 16, 2018","35.9250","35.5280","36.4780","35.5280","-0.33%"
"Nov 15, 2018","36.0435","35.9175","36.1825","35.8325","0.43%"
"Nov 14, 2018","35.8900","35.9840","36.3100","35.8100","-0.36%"
"Nov 13, 2018","36.0200","35.5300","36.2100","35.3600","1.32%"
"Nov 12, 2018","35.5500","35.6000","35.6000","35.1000","0.48%"
